FIRST_NAME,LAST_NAME,SPORT,SCHOOL,Latitude,Longitude,Accuracy Score
Ashley,Sessa,Field Hockey,Northwestern University,43.342292,-75.363505,0.9
Beth,Yeager,Field Hockey,Princeton University,25.538442,-80.408944,0.9
Maddie,Zimmer,Field Hockey,Northwestern University,43.342292,-75.363505,0.9
Lilia,Vu,Golf,"University of California, Los Angeles",34.027291,-118.281464,0.9
Nina,Casatagna,Rowing,University of Washington,47.666487,-122.309849,0.9
Claire,Collins,Rowing,Princeton University,25.538442,-80.408944,0.9
Emily,Kallfelz,Rowing,Princeton University,25.538442,-80.408944,0.9
Nick,Mead,Rowing,Princeton University,25.538442,-80.408944,0.9
Ben,Davison,Rowing,University of Washington,47.666487,-122.309849,0.9
Sagen,Maddalena,Shooting,University of Alaska Fairbanks,64.849753,-147.8128,0.9
Conner,Prince,Shooting,Centennial High School,39.62732,-104.779035,0.9
Natalia,Grossman,Sport Climbing,University of Colorado - Boulder,40.365798,-105.508768,0.9
Colin,Duffy,Sport Climbing,University of Colorado - Boulder,40.365798,-105.508768,0.9
Marcos,Giron,Tennis,"University of California, Los Angeles ",34.027291,-118.281464,0.9
Fred,Kerley,Track and Field,South Plains College,33.5678806,-102.2744052,
Fred,Kerley,Track and Field,Texas A&M ,30.6186852,-96.3390404,0.9
Kenny,Bednarek,Track and Field,Indian Hills Community College,40.250357,-79.241043,0.9
Morgan,Pearson,Triathlon,University of Colorado Boulder,40.365798,-105.508768,0.9
Garrett,Muagututia,Volleyball,"University of California, Los Angeles",34.027291,-118.281464,0.9
Ashleigh,Johnson,Water Polo,Princeton University,25.538442,-80.408944,0.9
Madeline,Musselman,Water Polo,"University of California, Los Angeles ",34.027291,-118.281464,0.9
Rachel,Fattal,Water Polo,"University of California, Los Angeles ",34.027291,-118.281464,0.9
Chase,Dodd,Water Polo,"University of California, Los Angeles ",34.027291,-118.281464,0.9
Max,Irving,Water Polo,"University of California, Los Angeles ",34.027291,-118.281464,0.9
Xander,Schauffele,Golf,San Diego State,32.7764121,-117.074494,
Xander,Schauffele,Golf,Long Beach University ,33.7838279,-118.1166653,0.95
Brady,Ellison,Archery,Chula Vista Elite Athlete Training Center,31.780781,-94.235334,1
Anita,Alvarez,Artistic Swimming,Pasadena City College,29.678179,-95.202911,1
Jacklyn,Luu,Artistic Swimming,Stanford University,37.42509,-122.1675,1
Keana,Hunter,Artistic Swimming,Bellevue College,47.615471,-122.207221,1
Jimmer,Fredette,Basketball 3x3,Brigham Young University,33.741518,-110.860653,1
Cameron,Brink,Basketball 3x3,Stanford University,37.42509,-122.1675,1
Stephen,Curry,Basketball,Davidson College,35.50233,-80.83912,1
Kawhi,Leonard,Basketball,San Diego State University,33.401085,-117.594174,1
Jayson,Tatum,Basketball,Chaminade College Preparatory School,32.904485,-111.247908,1
Brittney,Griner,Basketball,Baylor University,38.122794,-97.766352,1
Jewell,Loyd,Basketball,University of Notre Dame,41.712015,-86.249752,1
Jackie,Young,Basketball,University of Notre Dame,41.712015,-86.249752,1
Miles,Evans,Beach Volleyball,UC Santa Barbara,34.421897,-119.707135,1
Omari,Jones,Boxing,Valencia College,32.904485,-111.247908,1
Evy,Leibfarth,Canoeing,Davidson College,35.50233,-80.83912,1
Nevin,Harrison,Canoeing,San Diego State University,33.401085,-117.594174,1
Alise,Willoughby,Cycling (BMX Racing),University of San Diego,32.74887,-117.122209,1
Chloe,Dygert,Cycling (Road),Marian University,40.584028,-83.101687,1
Felicia,Stancil,Cycling (BMX Racing),Marian University,40.584028,-83.101687,1
Hannah,Roberts,Cycling (BMX Freestyle),Buchanan High School,41.841369,-86.429249,1
Kristen,Faulkner,Cycling (Track Cycling),Harvard University,42.42224,-88.61371,1
Lily,Williams,Cycling (Track Cycling),Northwestern University ’17,42.0564634,-87.6778419,
Lily,Williams,Cycling (Track Cycling),Vanderbilt University ’16,36.1447077,-86.80523,1
Savilia,Blunk,Cycling (Mountain Bike),Fort Lewis College,37.936208,-99.254501,1
Taylor,Knibb,Cycling (Road),Cornell University,45.125153,-91.170922,1
Olivia,Cummins,Cycling (Track Cycling),Colorado Mesa University,39.065852,-108.49374,1
Justin,Dowell,Cycling (BMX Freestyle),Princess Anne High School (Virginia Beach),36.71511,-76.020982,1
Kamren,Larsen,Cycling (BMX Racing),Grand Canyon University,27.925386,-82.225915,1
Kassidy,Cook,Diving,Stanford University,37.42509,-122.1675,1
Jessica,Parratto,Diving,Indiana University Bloomington,39.167027,-86.52708,1
Andrew,Capobianco,Diving,Indiana University Bloomington,39.167027,-86.52708,1
Carson,Tyler,Diving,Indiana University,39.903026,-86.28395,1
Anne,Cebula,Fencing,Barnard College,40.17444,-94.82386,1
Margherita,Guzzi Vincenti,Fencing,Penn State Univeristy,40.32896,-79.64115,1
Eli,Dershwitz,Fencing,Harvard University,42.42224,-88.61371,1
Nick,Itkin,Fencing,University of Notre Dame,41.712015,-86.249752,1
Alexander,Massialas,Fencing,Stanford University,37.42509,-122.1675,1
Jackie,Dubrovich,Fencing,Columbia University,33.987454,-81.024864,1
Lauren,Scruggs,Fencing,Harvard University,42.42224,-88.61371,1
Magda,Skarbonkiewicz,Fencing,University of Notre Dame - incoming freshman,41.712015,-86.249752,1
Gerek,Meinhardt,Fencing,University of Notre Dame,41.712015,-86.249752,1
Miles,Chamley-Watson,Fencing,Penn State University,40.32896,-79.64115,1
Filip,Dolegiewicz,Fencing,Harvard University,42.42224,-88.61371,1
Kelsey,Bing,Field Hockey,Stanford University,37.42509,-122.1675,1
Phia,Gladieux,Field Hockey,Penn State University,40.32896,-79.64115,1
Ally,Hammel,Field Hockey,Boston University,42.354318,-71.073449,1
Megan,Valzonis,Field Hockey,UC Berkeley,37.864425,-122.28713,1
Rose,Zhang,Golf,Stanford University,37.42509,-122.1675,1
Angelica,Delgado,Judo,Florida International University,27.767432,-82.402346,1
Evita,Griskenas,Rhythmic Gymnastics,Columbia University,33.987454,-81.024864,1
William,Bender,Rowing,Dartmouth College,41.756214,-71.067062,1
Charlotte,Buck,Rowing,Columbia University,33.987454,-81.024864,1
Molly,Bruggeman,Rowing,University of Notre Dame,41.712015,-86.249752,1
Olivia,Coffey,Rowing,Harvard University,42.42224,-88.61371,1
Meghan,Musnicki,Rowing,Ithaca College,44.5892119,-75.1608814,
Meghan,Musnicki,Rowing,St. Lawrence University ,42.402794,-76.483999,1
Molly,Reckford,Rowing,Dartmouth College,41.756214,-71.067062,1
Michelle,Sechser,Rowing,University of Tulsa,35.970661,-95.844784,1
Kristi,Wagner,Rowing,Yale University,43.121947,-82.827417,1
Liam,Corrigan,Rowing,Harvard University,42.42224,-88.61371,1
Michael,Grady,Rowing,Cornell University,45.125153,-91.170922,1
Sorin,Koszyk,Rowing,Cornell University,45.125153,-91.170922,1
Clark,Dean,Rowing,Harvard University,42.42224,-88.61371,1
Pieter,Quinton,Rowing,Harvard University,42.42224,-88.61371,1
Ariana,Ramsey,Rugby,Dartmouth College,41.756214,-71.067062,1
Steph,Rovetti,Rugby,Brigham Young University,33.741518,-110.860653,1
Sammy,Sullivan,Rugby,Army West Point,33.621135,-88.609136,1
Lara,Dallman-Weiss,Sailing,Eckerd College,38.84276,-107.96284,1
Erika,Reineke,Sailing,Boston College,42.354318,-71.073449,1
Dominique,Stater,Sailing,University of Miami,39.521163,-84.376804,1
Stephanie,Roble,Sailing,Old Dominion University,27.707756,-82.442505,1
Stu,McNay,Sailing,Yale University,43.121947,-82.827417,1
Hans,Henken,Sailing,California Rowing Club,37.155177,-119.543418,1
Ian,Barrows,Sailing,Yale University,43.121947,-82.827417,1
Markus,Edegran,Sailing,St. Mary's College of Maryland,38.223077,-76.534487,1
Ryann,Phillips,Shooting,Texas A&M University-Corpus Christi,27.764919,-97.394825,1
Ivan,Roe,Shooting,Murray State University,34.477598,-96.827993,1
Vincent,Hancock,Shooting,Troy University,42.555985,-83.119206,1
Will,Hinton,Shooting,Dacula High School,33.988309,-83.879494,1
Bryce,Wettstein,Skateboarding,"MiraCosta College, San Elijo Campus",36.41423,-91.73487,1
Brooke,Raboutou,Sport Climbing,University of San Diego,32.74887,-117.122209,1
Emma,Hunt,Sport Climbing,Kennesaw State University,35.823301,-90.692816,1
Griffin,Colapinto,Surfing,San Clemente High School,33.42362,-117.606843,1
John John,Florence,Surfing,Kahuku High School,21.68152,-157.94072,1
Blake,Pieroni,Swimming,Indiana University,39.903026,-86.28395,1
Chris,Guiliano,Swimming,University of Notre Dame,41.712015,-86.249752,1
Josh,Matheny,Swimming,Indiana University,39.903026,-86.28395,1
Anna,Peplowski,Swimming,Indiana University,39.903026,-86.28395,1
Katie,Ledecky,Swimming,Stanford University,37.42509,-122.1675,1
Lilly,King,Swimming,Indiana University Bloomington,39.167027,-86.52708,1
Mariah,Denigan,Swimming,Indiana University,39.903026,-86.28395,1
Regan,Smith,Swimming,Stanford University,37.42509,-122.1675,1
Simone,Manuel,Swimming,Stanford University,37.42509,-122.1675,1
"Victoria ""Torri""",Huske,Swimming,Stanford University,37.42509,-122.1675,1
Kanak,Jha,Table Tennis,Milpitas High School,37.436454,-121.861989,1
Rajeev,Ram,Tennis,Illinois Univeristy,40.102875,-89.152611,1
Chris,Nilsen,Track and Field,South Dakota University,44.446796,-100.238176,1
Clayton,Young,Track and Field,Brigham Young University,33.741518,-110.860653,1
Conner,Mantz,Track and Field,Brigham Young University,33.741518,-110.860653,1
Grant,Fisher,Track and Field,Stanford University,37.42509,-122.1675,1
Harrison,Williams,Track and Field,Stanford University,37.42509,-122.1675,1
Joe,Kovacs,Track and Field,Penn State University,40.32896,-79.64115,1
Leonard,Korir,Track and Field,Iona College,42.070024,-93.493347,1
Noah,Lyles,Track and Field,TC Williams High School,39.142737,-122.243739,1
Sam,Kendricks,Track and Field,University of Mississippi,34.365411,-89.53718,1
Woody,Kincaid,Track and Field,University of Portland,45.399716,-122.27426,1
Yared,Nuguse,Track and Field,University of Notre Dame,41.712015,-86.249752,1
Annette,Echikunwoke,Track and Field,Cincinnati University,39.166759,-84.53822,1
Emily,Sisson,Track and Field,Providence College,41.81835,-71.424851,1
Fiona,O'Keeffe,Track and Field,Stanford University,37.42509,-122.1675,1
Melissa,Jefferson,Track and Field,Coastal Carolina University,18.379441,-65.957695,1
Vashti,Cunningham,Track and Field,Sacramento State University,38.377411,-121.444429,1
Taylor,Knibb,Triathlon,Cornell University,45.125153,-91.170922,1
Matt,Anderson,Volleyball,Penn State University,40.32896,-79.64115,1
T.J.,DeFalco,Volleyball,California State University Long Beach,33.82825,-118.180503,1
Max,Holt,Volleyball,Penn State University,40.32896,-79.64115,1
Thomas,Jaeschke,Volleyball,Loyola University Chicago,42.000648,-87.660954,1
Jeff,Jendryk II,Volleyball,Loyola University Chicago,42.000648,-87.660954,1
Aaron,Russell,Volleyball,Penn State University,40.32896,-79.64115,1
Erik,Shoji,Volleyball,Stanford University,37.42509,-122.1675,1
Kathryn,Plummer,Volleyball,Stanford University,37.42509,-122.1675,1
Jordan,Thompson,Volleyball,University of Cincinnati,39.521163,-84.376804,1
Jenna,Flynn,Water Polo,Stanford University,37.42509,-122.1675,1
Jewel,Roemer,Water Polo,Stanford University,37.42509,-122.1675,1
Maggie,Steffens,Water Polo,Stanford University,37.42509,-122.1675,1
Ryann,Neushul,Water Polo,Stanford University,37.42509,-122.1675,1
Alex,Bowen,Water Polo,Stanford University,37.42509,-122.1675,1
Alex,Obert,Water Polo,University of the Pacific,38.634376,-90.311726,1
Ben,Hallock,Water Polo,Stanford University,37.42509,-122.1675,1
Drew,Holland,Water Polo,Stanford University,37.42509,-122.1675,1
Dylan,Woodhead,Water Polo,Stanford University,37.42509,-122.1675,1
Olivia,Reeves,Weightlifting,University of Tennessee-Chattanooga,35.043744,-85.3011,1
Amit,Elor,Wrestling,Diablo Valley College,32.81874,-85.17939,1
Dom,Parrish,Wrestling,"Simon Fraser University (British Columbia, Canada)",59.60368,-133.513683,1
Kayla,Miracle,Wrestling,Campbellsville,37.337416,-85.357952,1
Sarah,Hildebrandt,Wrestling,King University,36.320179,-80.292174,1
