FIRST_NAME,LAST_NAME,SPORT,FULL_HOMETOWN,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Dominique,Stater,Sailing,"Miami, Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Stephanie,Roble,Sailing,"East Troy, Wisconsin",42.78529,-88.4051,1,place,,,,,East Troy,WI,Walworth County,53120,US,TIGER/Line® dataset from the US Census Bureau
Maggie,Shea,Sailing,"Wilmette, Illinois",42.079228,-87.72836,1,place,,,,,Wilmette,IL,Cook County,60091,US,TIGER/Line® dataset from the US Census Bureau
Sarah,Newberry Moore,Sailing,"Miami , Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Stu,McNay,Sailing,"Providence , Rhode Island",41.81835,-71.424851,1,place,,,,,Providence,RI,Providence County,2902,US,TIGER/Line® dataset from the US Census Bureau
Hans,Henken,Sailing,"Coronado, California",32.699235,-117.209642,1,place,,,,,Coronado,CA,San Diego County,92118,US,TIGER/Line® dataset from the US Census Bureau
Ian,Barrows,Sailing,"St. Thomas, U.S. Virgin Islands",18.342908,-64.9189,1,place,,,,,Saint Thomas,VI,St. Thomas Island,805,US,TIGER/Line® dataset from the US Census Bureau
Noah,Lyons,Sailing,"Clearwater , Florida",27.978147,-82.781523,1,place,,,,,Clearwater,FL,Pinellas County,33755,US,TIGER/Line® dataset from the US Census Bureau
Markus,Edegran,Sailing,"West Palm Beach , Florida",26.715844,-80.070249,1,place,,,,,West Palm Beach,FL,Palm Beach County,33401,US,TIGER/Line® dataset from the US Census Bureau
David,Liebenberg,Sailing,"West Palm Beach , Florida",26.715844,-80.070249,1,place,,,,,West Palm Beach,FL,Palm Beach County,33401,US,TIGER/Line® dataset from the US Census Bureau
Katelyn,Abeln,Shooting,"Douglasville, Georgia",33.759543,-84.777337,1,place,,,,,Douglasville,GA,Douglas County,30134,US,TIGER/Line® dataset from the US Census Bureau
Alexis ,Lagan,Shooting ,"Boulder City, Nevada",36.020563,-114.82952,1,place,,,,,Boulder City,NV,Clark County,89005,US,TIGER/Line® dataset from the US Census Bureau
Sagen,Maddalena,Shooting,"Groveland, California",37.83826,-120.23269,1,place,,,,,Groveland,CA,Tuolumne County,95321,US,TIGER/Line® dataset from the US Census Bureau
Mary,Tucker,Shooting,"Sarasota , Florida",27.335023,-82.537169,1,place,,,,,Sarasota,FL,Sarasota County,34230,US,TIGER/Line® dataset from the US Census Bureau
Ryann,Phillips,Shooting,"Gail, Texas",32.743795,-101.432354,1,place,,,,,Gail,TX,Borden County,79738,US,TIGER/Line® dataset from the US Census Bureau
Austen ,Smith,Shooting,"Keller, Texas",32.928037,-97.283914,1,place,,,,,Keller,TX,Tarrant County,76244,US,TIGER/Line® dataset from the US Census Bureau
Rachel,Tozier,Shooting,"Pattonsburg, Missouri",40.033605,-94.088967,1,place,,,,,Pattonsburg,MO,Daviess County,64670,US,TIGER/Line® dataset from the US Census Bureau
Dania,Vizzi,Shooting,"Tampa, Florida",27.996097,-82.582035,1,place,,,,,Tampa,FL,Hillsborough County,33601,US,TIGER/Line® dataset from the US Census Bureau
Ada,Khorkin ,Shooting ,"Brookline , Massachusetts",42.308198,-71.088745,1,place,,,,,Brookline,MA,Suffolk County,2146,US,TIGER/Line® dataset from the US Census Bureau
Ivan,Roe,Shooting,"Manhattan, Montana",45.771228,-111.374118,1,place,,,,,Manhattan,MT,Gallatin County,59741,US,TIGER/Line® dataset from the US Census Bureau
Vincent,Hancock,Shooting,"Eatonton, Georgia",33.320818,-83.355865,1,place,,,,,Eatonton,GA,Putnam County,31024,US,TIGER/Line® dataset from the US Census Bureau
Will,Hinton,Shooting,"Dacula, Georgia",33.988309,-83.879494,1,place,,,,,Dacula,GA,Gwinnett County,30019,US,TIGER/Line® dataset from the US Census Bureau
Derrick,Mein,Shooting,"Paola , Kansas",38.577932,-94.880328,1,place,,,,,Paola,KS,Miami County,66071,US,TIGER/Line® dataset from the US Census Bureau
Conner,Prince,Shooting,"Burleson, Texas",32.492683,-97.264359,1,place,,,,,Burleson,TX,Johnson County,76028,US,TIGER/Line® dataset from the US Census Bureau
Keith,Sanderson,Shooting,"Colorado Springs, Colorado",38.828893,-104.809929,1,place,,,,,Colorado Springs,CO,El Paso County,80903,US,TIGER/Line® dataset from the US Census Bureau
Henry ,Leverett ,Shooting ,"Bainbridge, Georgia",30.888734,-84.617836,1,place,,,,,Bainbridge,GA,Decatur County,31717,US,TIGER/Line® dataset from the US Census Bureau
Chris,Joslin,Skateboarding,"Hawaiian Gardens, California",33.830967,-118.072796,1,place,,,,,Hawaiian Gardens,CA,Los Angeles County,90716,US,TIGER/Line® dataset from the US Census Bureau
Gavin ,Bottger,Skateboarding,"Oceanside , California",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Jagger,Eaton,Skateboarding,"Mesa, Arizona",33.440695,-111.856967,1,place,,,,,Mesa,AZ,Maricopa County,85201,US,TIGER/Line® dataset from the US Census Bureau
Nyjah,Huston,Skateboarding,"Davis, California",38.55413,-121.798469,1,place,,,,,Davis,CA,Yolo County,95616,US,TIGER/Line® dataset from the US Census Bureau
Tate ,Carew,Skateboarding,"San Diego , California",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Tom,Schaar,Skateboarding,"Malibu , California",34.039034,-118.707992,1,place,,,,,Malibu,CA,Los Angeles County,90263,US,TIGER/Line® dataset from the US Census Bureau
Bryce,Wettstein,Skateboarding,"Encinitas, California",33.016928,-116.846046,1,place,,,,,Encinitas,CA,San Diego County,92023,US,TIGER/Line® dataset from the US Census Bureau
Mariah,Duran,Skateboarding,"Albuquerque, New Mexico",35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Sandoval County,87101,US,TIGER/Line® dataset from the US Census Bureau
Minna ,Stess,Skateboarding,"Petaluma, California",38.265366,-122.822588,1,place,,,,,Petaluma,CA,Sonoma County,94952,US,TIGER/Line® dataset from the US Census Bureau
Paige ,Heyn,Skateboarding,"Tempe, Arizona ",33.401395,-111.931298,1,place,,,,,Tempe,AZ,Maricopa County,85280,US,TIGER/Line® dataset from the US Census Bureau
Poe ,Pinson,Skateboarding,"Fernandina Beach , Florida ",30.609692,-81.49172,1,place,,,,,Fernandina Beach,FL,Nassau County,32034,US,TIGER/Line® dataset from the US Census Bureau
Ruby,Lilley,Skateboarding,"Oceanside , California ",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Brooke,Raboutou,Sport Climbing,"Boulder, Colorado",40.049468,-105.201421,1,place,,,,,Boulder,CO,Boulder County,80301,US,TIGER/Line® dataset from the US Census Bureau
Emma ,Hunt,Sport Climbing,"Woodstock, Georgia",34.127398,-84.481787,1,place,,,,,Woodstock,GA,Cherokee County,30188,US,TIGER/Line® dataset from the US Census Bureau
Natalia,Grossman,Sport Climbing,"Boulder, Colorado",40.049468,-105.201421,1,place,,,,,Boulder,CO,Boulder County,80301,US,TIGER/Line® dataset from the US Census Bureau
Piper,Kelly,Sport Climbing,"Indianapolis, Indiana",39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Jesse,Grupper,Sport Climbing,"Montclair, New Jersey",40.811908,-74.216389,1,place,,,,,Montclair,NJ,Essex County,7042,US,TIGER/Line® dataset from the US Census Bureau
Samuel,Watson,Sport Climbing,"Southlake, Texas",32.948474,-97.152368,1,place,,,,,Southlake,TX,Tarrant County,76092,US,TIGER/Line® dataset from the US Census Bureau
Zach ,Hammer,Sport Climbing,"Ann Arbor, Michigan",42.266638,-83.849042,1,place,,,,,Ann Arbor,MI,Washtenaw County,48103,US,TIGER/Line® dataset from the US Census Bureau
Griffin,Colapinto,Surfing,"San Clemente, California",33.42362,-117.606843,1,place,,,,,San Clemente,CA,Orange County,92672,US,TIGER/Line® dataset from the US Census Bureau
John John,Florence,Surfing,"Haleiwa, Hawaii",21.5923,-158.10682,1,place,,,,,Haleiwa,HI,Honolulu County,96712,US,TIGER/Line® dataset from the US Census Bureau
Caitlin,Simmers,Surfing,"Oceanside, California",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Carissa,Moore,Surfing,"Honolulu, Hawaii",21.316548,-157.845053,1,place,,,,,Honolulu,HI,Honolulu County,96813,US,TIGER/Line® dataset from the US Census Bureau
Caroline,Marks,Surfing,"Melbourne Beach, Florida",28.06835,-80.56033,1,place,,,,,Melbourne Beach,FL,Brevard County,32951,US,TIGER/Line® dataset from the US Census Bureau
Aaron,Shackell,Swimming,"Carmel, Indiana",39.962604,-86.174761,1,place,,,,,Carmel,IN,Hamilton County,46032,US,TIGER/Line® dataset from the US Census Bureau
Blake,Pieroni,Swimming,"Chesterton, Indiana",41.613626,-87.04613,1,place,,,,,Chesterton,IN,Porter County,46304,US,TIGER/Line® dataset from the US Census Bureau
Bobby,Finke,Swimming,"Clearwater, Florida",27.978147,-82.781523,1,place,,,,,Clearwater,FL,Pinellas County,33755,US,TIGER/Line® dataset from the US Census Bureau
Brooks,Curry,Swimming,"Atlanta, Georgia",33.844371,-84.47405,1,place,,,,,Atlanta,GA,Cobb County,30301,US,TIGER/Line® dataset from the US Census Bureau
Caeleb,Dressel,Swimming,"Orange Park, Florida",30.152238,-81.797016,1,place,,,,,Orange Park,FL,Clay County,32065,US,TIGER/Line® dataset from the US Census Bureau
Carson,Foster,Swimming,"Cincinnati, Ohio",39.166759,-84.53822,1,place,,,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau
Charlie ,Swanson,Swimming,"Richmond , Virginia ",37.524246,-77.493157,1,place,,,,,Richmond,VA,Richmond City,23218,US,TIGER/Line® dataset from the US Census Bureau
Chase,Kalisz,Swimming,"Bel Air, Maryland",39.547557,-76.321984,1,place,,,,,Bel Air,MD,Harford County,21014,US,TIGER/Line® dataset from the US Census Bureau
Chris,Guiliano,Swimming,"Douglassville, Pennsylvania",40.25787,-75.7263,1,place,,,,,Douglassville,PA,Berks County,19518,US,TIGER/Line® dataset from the US Census Bureau
Drew,Kibler,Swimming,"Carmel, Indiana",39.962604,-86.174761,1,place,,,,,Carmel,IN,Hamilton County,46032,US,TIGER/Line® dataset from the US Census Bureau
Hunter,Armstrong,Swimming,"Dover, Ohio",40.52062,-81.47401,1,place,,,,,Dover,OH,Tuscarawas County,44622,US,TIGER/Line® dataset from the US Census Bureau
Jack,Alexy,Swimming,"Mendham, New Jersey",40.786699,-74.5938,1,place,,,,,Mendham,NJ,Morris County,7945,US,TIGER/Line® dataset from the US Census Bureau
Josh,Matheny,Swimming,"Pittsburgh, Pennsylvania",40.47441,-79.950968,1,place,,,,,Pittsburgh,PA,Allegheny County,15201,US,TIGER/Line® dataset from the US Census Bureau
Keaton,Jones,Swimming,"Gilbert, Arizona",33.335401,-111.815281,1,place,,,,,Gilbert,AZ,Maricopa County,85233,US,TIGER/Line® dataset from the US Census Bureau
Kieran,Smith,Swimming,"Ridgefield, Connecticut",41.308201,-73.494637,1,place,,,,,Ridgefield,CT,Western Connecticut Planning Region,6877,US,TIGER/Line® dataset from the US Census Bureau
Luca ,Urlando,Swimming,"Sacramento , California ",38.377411,-121.444429,1,place,,,,,Sacramento,CA,Sacramento County,94240,US,TIGER/Line® dataset from the US Census Bureau
Luke,Hobson,Swimming,"Reno, Nevada",39.525749,-119.813051,1,place,,,,,Reno,NV,Washoe County,89501,US,TIGER/Line® dataset from the US Census Bureau
Luke ,Whitlock,Swimming,"Noblesville, Indiana",40.073328,-85.999521,1,place,,,,,Noblesville,IN,Hamilton County,46060,US,TIGER/Line® dataset from the US Census Bureau
Matt,Fallon,Swimming,"Warren, New Jersey",40.629101,-74.532449,1,place,,,,,Warren,NJ,Somerset County,7059,US,TIGER/Line® dataset from the US Census Bureau
Nic,Fink,Swimming,"Morristown, New Jersey",40.77165,-74.506256,1,place,,,,,Morristown,NJ,Morris County,7960,US,TIGER/Line® dataset from the US Census Bureau
Ryan,Murphy,Swimming,"Ponte Vedra Beach, Florida",29.937673,-81.420603,1,place,,,,,Ponte Vedra Beach,FL,St. Johns County,32004,US,TIGER/Line® dataset from the US Census Bureau
Thomas,Heilman,Swimming,"Crozet, Virginia",38.129592,-78.710635,1,place,,,,,Crozet,VA,Albemarle County,22932,US,TIGER/Line® dataset from the US Census Bureau
Alex,Shackell,Swimming,"Carmel, Indiana",39.962604,-86.174761,1,place,,,,,Carmel,IN,Hamilton County,46032,US,TIGER/Line® dataset from the US Census Bureau
Alex ,Walsh,Swimming,"Nashville, Tennessee",36.165688,-86.778098,1,place,,,,,Nashville,TN,Davidson County,37201,US,TIGER/Line® dataset from the US Census Bureau
Anna,Peplowski,Swimming,"Germantown Hills, Illinois",38.560662,-89.559413,1,place,,,,,Germantown,IL,Clinton County,62245,US,TIGER/Line® dataset from the US Census Bureau
Claire,Weinstein,Swimming,"White Plains, New York",41.031397,-73.769626,1,place,,,,,White Plains,NY,Westchester County,10601,US,TIGER/Line® dataset from the US Census Bureau
Emma,Weber ,Swimming,"Denver , Colorado ",39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Emma,Weyant,Swimming,"Sarasota , Florida",27.335023,-82.537169,1,place,,,,,Sarasota,FL,Sarasota County,34230,US,TIGER/Line® dataset from the US Census Bureau
Erika,Connolly (formerly Brown),Swimming,"Cornelius, North Carolina",35.473286,-80.872585,1,place,,,,,Cornelius,NC,Mecklenburg County,28031,US,TIGER/Line® dataset from the US Census Bureau
Erin,Gemmell,Swimming,"Potomac, Maryland",39.029839,-77.234792,1,place,,,,,Potomac,MD,Montgomery County,20854,US,TIGER/Line® dataset from the US Census Bureau
Gretchen,Walsh,Swimming,"Nashville, Tennessee",36.165688,-86.778098,1,place,,,,,Nashville,TN,Davidson County,37201,US,TIGER/Line® dataset from the US Census Bureau
Kate,Douglass,Swimming,"Pelham, New York",40.904538,-73.806277,1,place,,,,,Pelham,NY,Westchester County,10803,US,TIGER/Line® dataset from the US Census Bureau
Katharine,Berkoff,Swimming,"Missoula, Montana",46.856398,-114.014338,1,place,,,,,Missoula,MT,Missoula County,59801,US,TIGER/Line® dataset from the US Census Bureau
Katie,Grimes,Swimming,"Las Vegas, Nevada",36.17372,-115.10647,1,place,,,,,Las Vegas,NV,Clark County,89101,US,TIGER/Line® dataset from the US Census Bureau
Katie,Ledecky,Swimming,"Bethesda, Maryland",39.00452,-77.1046,1,place,,,,,Bethesda,MD,Montgomery County,20814,US,TIGER/Line® dataset from the US Census Bureau
Lilly,King,Swimming,"Evansville, Indiana",37.997128,-87.574963,1,place,,,,,Evansville,IN,Vanderburgh County,47701,US,TIGER/Line® dataset from the US Census Bureau
Mariah,Denigan,Swimming,"Walton, Kentucky",38.88142,-84.665597,1,place,,,,,Walton,KY,Boone County,41094,US,TIGER/Line® dataset from the US Census Bureau
Paige,Madden,Swimming,"Mobile, Alabama",30.701142,-88.103184,1,place,,,,,Mobile,AL,Mobile County,36601,US,TIGER/Line® dataset from the US Census Bureau
Phoebe,Bacon,Swimming,"Chevy Chase, Maryland",38.983759,-77.079449,1,place,,,,,Chevy Chase,MD,Montgomery County,20815,US,TIGER/Line® dataset from the US Census Bureau
Regan,Smith,Swimming,"Lakeville, Minnesota",44.633421,-93.25812,1,place,,,,,Lakeville,MN,Dakota County,55044,US,TIGER/Line® dataset from the US Census Bureau
Simone,Manuel,Swimming,"Sugar Land, Texas",29.620312,-95.605693,1,place,,,,,Sugar Land,TX,Fort Bend County,77478,US,TIGER/Line® dataset from the US Census Bureau
"Victoria ""Torri""",Huske,Swimming,"Arlington , Virginia",38.885484,-77.099113,1,place,,,,,Arlington,VA,Arlington County,22201,US,TIGER/Line® dataset from the US Census Bureau
Lily,Zhang,Table Tennis,"Palo Alto, California",37.444122,-122.149915,1,place,,,,,Palo Alto,CA,Santa Clara County,94301,US,TIGER/Line® dataset from the US Census Bureau
Kanak ,Jha,Table Tennis,"Milipitas, California",37.436454,-121.861989,1,place,,,,,Milpitas,CA,Santa Clara County,95035,US,TIGER/Line® dataset from the US Census Bureau
CJ,Nickolas,Taekwondo,"Brentwood, California",37.922228,-121.668359,1,place,,,,,Brentwood,CA,Contra Costa County,94513,US,TIGER/Line® dataset from the US Census Bureau
Faith ,Dillon ,Taekwondo,"Las Vegas, Nevada",36.17372,-115.10647,1,place,,,,,Las Vegas,NV,Clark County,89101,US,TIGER/Line® dataset from the US Census Bureau
Kristina ,Teachout ,Taekwondo,"Palm Beach , Flroida ",26.600995,-80.038113,1,place,,,,,Palm Beach,FL,Palm Beach County,33480,US,TIGER/Line® dataset from the US Census Bureau
Austin ,Krajicek,Tennis ,"Tampa , Florida ",27.996097,-82.582035,1,place,,,,,Tampa,FL,Hillsborough County,33601,US,TIGER/Line® dataset from the US Census Bureau
Chris ,Eubanks ,Tennis,"Atlanta , Georgia",33.844371,-84.47405,1,place,,,,,Atlanta,GA,Cobb County,30301,US,TIGER/Line® dataset from the US Census Bureau
Marcos ,Giron ,Tennis,"Thousand Oaks , California ",34.212798,-118.882175,1,place,,,,,Thousand Oaks,CA,Ventura County,91360,US,TIGER/Line® dataset from the US Census Bureau
Rajeev ,Ram ,Tennis,"Denver , Colorado ",39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Taylor ,Fritz,Tennis,"Rancho Santa Fe , California",33.005026,-117.21569,1,place,,,,,Rancho Santa Fe,CA,San Diego County,92067,US,TIGER/Line® dataset from the US Census Bureau
Tommy ,Paul,Tennis,"Camden County , New Jersey ",39.802407,-74.961249,1,county,,,,,,NJ,Camden County,,US,US Census Bureau
Coco,Gauff,Tennis,"Delray Beach, Florida",26.457598,-80.081614,1,place,,,,,Delray Beach,FL,Palm Beach County,33444,US,TIGER/Line® dataset from the US Census Bureau
Danielle ,Collins ,Tennis ,"St. Petersburg , Florida",27.775654,-82.64092,1,place,,,,,Saint Petersburg,FL,Pinellas County,33701,US,TIGER/Line® dataset from the US Census Bureau
Jessica ,Pegula ,Tennis,"Buffalo , New York ",42.89606,-78.886424,1,place,,,,,Buffalo,NY,Erie County,14201,US,TIGER/Line® dataset from the US Census Bureau
Chris ,Bailey,Track and Field,"Atlanta, Georgia",33.844371,-84.47405,1,place,,,,,Atlanta,GA,Cobb County,30301,US,TIGER/Line® dataset from the US Census Bureau
Chris,Nilsen,Track and Field,"Kansas City, Missouri",39.102404,-94.598583,1,place,,,,,Kansas City,MO,Jackson County,64101,US,TIGER/Line® dataset from the US Census Bureau
Clayton,Young,Track and Field,"American Fork, Utah",40.395796,-111.803101,1,place,,,,,American Fork,UT,Utah County,84003,US,TIGER/Line® dataset from the US Census Bureau
Cole,Hocker,Track and Field,"Indianapolis, Indiana",39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Conner,Mantz,Track and Field,"Smithfield, Utah",41.801798,-111.910101,1,place,,,,,Smithfield,UT,Cache County,84335,US,TIGER/Line® dataset from the US Census Bureau
Fred,Kerley,Track and Field,"Morgan City  , Louisiana	",29.697653,-91.265374,1,place,,,,,Morgan City,LA,St. Mary Parish,70380,US,TIGER/Line® dataset from the US Census Bureau
Grant,Fisher,Track and Field,"Grand Blanc, Michigan",42.9227,-83.67376,1,place,,,,,Grand Blanc,MI,Genesee County,48439,US,TIGER/Line® dataset from the US Census Bureau
Hobbs,Kessler,Track and Field,"Ann Arbor, Michigan",42.266638,-83.849042,1,place,,,,,Ann Arbor,MI,Washtenaw County,48103,US,TIGER/Line® dataset from the US Census Bureau
Harrison ,Williams ,Track and Field,"Houston , Texas ",29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Heath ,Baldwin ,Track and Field,"Kalamazoo, Michigan",42.264543,-85.561545,1,place,,,,,Kalamazoo,MI,Kalamazoo County,49001,US,TIGER/Line® dataset from the US Census Bureau
Jacob ,Wooten ,Track and Field,"Tomball , Texas ",30.094886,-95.585826,1,place,,,,,Tomball,TX,Harris County,77375,US,TIGER/Line® dataset from the US Census Bureau
Joe,Kovacs,Track and Field,"Bethlehem, Pennslyvania",40.58883,-75.351958,1,place,,,,,Bethlehem,PA,Northampton County,18015,US,TIGER/Line® dataset from the US Census Bureau
Kenny,Bednarek,Track and Field,"Rice Lake, Wisconsin",45.519692,-91.826575,1,place,,,,,Rice Lake,WI,Barron County,54868,US,TIGER/Line® dataset from the US Census Bureau
Leonard ,Korir,Track and Field,"Colorado Springs, Colorado ",38.828893,-104.809929,1,place,,,,,Colorado Springs,CO,El Paso County,80903,US,TIGER/Line® dataset from the US Census Bureau
Nico ,Young ,Track and Field,"Camarillo , California ",34.227855,-119.079869,1,place,,,,,Camarillo,CA,Ventura County,93010,US,TIGER/Line® dataset from the US Census Bureau
Noah,Lyles,Track and Field,"Alexandria, Virginia",38.819853,-77.059645,1,place,,,,,Alexandria,VA,Alexandria City,22301,US,TIGER/Line® dataset from the US Census Bureau
Payton,Otterdahl,Track and Field,"Rosemount, Minnesota",44.73941,-93.12577,1,place,,,,,Rosemount,MN,Dakota County,55068,US,TIGER/Line® dataset from the US Census Bureau
Ryan,Crouser,Track and Field,"Boring, Oregon",45.411842,-122.37642,1,place,,,,,Boring,OR,Clackamas County,97009,US,TIGER/Line® dataset from the US Census Bureau
Sam,Kendricks,Track and Field,"Oxford, Mississippi",34.330814,-89.483519,1,place,,,,,Oxford,MS,Lafayette County,38655,US,TIGER/Line® dataset from the US Census Bureau
Woody,Kincaid,Track and Field,"Littleton, Colorado",39.597937,-105.010182,1,place,,,,,Littleton,CO,Arapahoe County,80120,US,TIGER/Line® dataset from the US Census Bureau
Yared,Nuguse,Track and Field,"Louisville, Kentucky",38.25247,-85.753812,1,place,,,,,Louisville,KY,Jefferson County,40202,US,TIGER/Line® dataset from the US Census Bureau
Zach,Ziemek,Track and Field,"Itasca, Illinois",41.97503,-88.00729,1,place,,,,,Itasca,IL,Dupage County,60143,US,TIGER/Line® dataset from the US Census Bureau
Aaliyah,Butler ,Track and Field,"Fort Lauderdale, Florida ",26.121323,-80.127909,1,place,,,,,Fort Lauderdale,FL,Broward County,33301,US,TIGER/Line® dataset from the US Census Bureau
Alexis ,Holmes ,Track and Field,"Hamden , Connecticut",41.372723,-72.938747,1,place,,,,,Hamden,CT,South Central Connecticut Planning Region,6514,US,TIGER/Line® dataset from the US Census Bureau
DeAnna,Price,Track and Field,"Troy, Missouri",39.016299,-90.940268,1,place,,,,,Troy,MO,Lincoln County,63379,US,TIGER/Line® dataset from the US Census Bureau
Emily,Sisson,Track and Field,"Chesterfield, Missouri",38.637002,-90.650024,1,place,,,,,Chesterfield,MO,St. Louis County,63005,US,TIGER/Line® dataset from the US Census Bureau
Fiona,O'Keeffe,Track and Field,"Davis, California",38.55413,-121.798469,1,place,,,,,Davis,CA,Yolo County,95616,US,TIGER/Line® dataset from the US Census Bureau
Melissa ,Jefferson ,Track and Field,"Hemingway , South Carolina",33.732071,-79.430945,1,place,,,,,Hemingway,SC,Williamsburg County,29554,US,TIGER/Line® dataset from the US Census Bureau
Sha'Carri,Richardson ,Track and Field,"Dallas , Texas ",32.781179,-96.790329,1,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
Teetee ,Terry ,Track and Field,"Miami , Florida ",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Vashti,Cunningham,Track and Field,"Las Vegas, Nevada",36.17372,-115.10647,1,place,,,,,Las Vegas,NV,Clark County,89101,US,TIGER/Line® dataset from the US Census Bureau
Morgan,Pearson,Triathlon,"New Vernon, New Jersey",40.739599,-74.483413,1,place,,,,,New Vernon,NJ,Morris County,7976,US,TIGER/Line® dataset from the US Census Bureau
Taylor,Knibb,Triathlon,"Washington, DC",38.911936,-77.016719,1,place,,,,,Washington,DC,District of Columbia,20001,US,TIGER/Line® dataset from the US Census Bureau
Taylor,Spivey,Triathlon,"Manhattan Beach, California",33.889151,-118.402127,1,place,,,,,Manhattan Beach,CA,Los Angeles County,90266,US,TIGER/Line® dataset from the US Census Bureau
Taylor,Averill,Volleyball,"San Jose, California",37.346608,-121.909871,1,place,,,,,San Jose,CA,Santa Clara County,95110,US,TIGER/Line® dataset from the US Census Bureau
Micah,Christenson,Volleyball,"Honolulu, Hawaii",21.316548,-157.845053,1,place,,,,,Honolulu,HI,Honolulu County,96813,US,TIGER/Line® dataset from the US Census Bureau
T.J.,DeFalco,Volleyball,"Huntington Beach, California",33.66205,-117.968459,1,place,,,,,Huntington Beach,CA,Orange County,92646,US,TIGER/Line® dataset from the US Census Bureau
Max,Holt,Volleyball,"Cincinnati, Ohio",39.166759,-84.53822,1,place,,,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau
Thomas,Jaeschke,Volleyball,"Wheaton, Illinois",41.87272,-88.112442,1,place,,,,,Wheaton,IL,Dupage County,60187,US,TIGER/Line® dataset from the US Census Bureau
Jeff,Jendryk II,Volleyball,"Wheaton, Illinois",41.87272,-88.112442,1,place,,,,,Wheaton,IL,Dupage County,60187,US,TIGER/Line® dataset from the US Census Bureau
Garrett,Muagututia,Volleyball,"Oceanside , California",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Aaron,Russell,Volleyball,"Ellicott City, Maryland",39.236405,-76.941902,1,place,,,,,Ellicott City,MD,Howard County,21041,US,TIGER/Line® dataset from the US Census Bureau
Erik,Shoji,Volleyball,"Honolulu, Hawaii",21.316548,-157.845053,1,place,,,,,Honolulu,HI,Honolulu County,96813,US,TIGER/Line® dataset from the US Census Bureau
Lauren ,Carlini ,Volleyball,"Aurora , Illinois ",41.747452,-88.238622,1,place,,,,,Aurora,IL,Dupage County,60504,US,TIGER/Line® dataset from the US Census Bureau
Annie ,Drews ,Volleyball,"Elkhart , Indiana ",41.71873,-85.937024,1,place,,,,,Elkhart,IN,Elkhart County,46514,US,TIGER/Line® dataset from the US Census Bureau
Jordan ,Larson ,Volleyball,"Hooper , Nebraska ",41.621961,-96.549316,1,place,,,,,Hooper,NE,Dodge County,68031,US,TIGER/Line® dataset from the US Census Bureau
Chiaka ,Ogbogu ,Volleyball,"Coppell , Texas ",32.963417,-96.984664,1,place,,,,,Coppell,TX,Dallas County,75019,US,TIGER/Line® dataset from the US Census Bureau
Kathryn ,Plummer ,Volleyball,"Aliso Viejo , California",33.576205,-117.730364,1,place,,,,,Aliso Viejo,CA,Orange County,92656,US,TIGER/Line® dataset from the US Census Bureau
Jordyn ,Poulter ,Volleyball,"Aurora , Colorado ",39.739249,-104.862881,1,place,,,,,Aurora,CO,Arapahoe County,80010,US,TIGER/Line® dataset from the US Census Bureau
Dana ,Rettke ,Volleyball,"Riverside , Illinois ",41.83503,-87.82284,1,place,,,,,Riverside,IL,Cook County,60546,US,TIGER/Line® dataset from the US Census Bureau
Kelsey,Robinson Cook,Volleyball,"Bartlett , Illinois ",41.980446,-88.203407,1,place,,,,,Bartlett,IL,Dupage County,60103,US,TIGER/Line® dataset from the US Census Bureau
